fpgas,array_partition,burst_rw,dataflow_func,dataflow_subfunc,vector_add,lmem_2rw,loop_reorder,partition_cyclicblock,shift_register,systolic_array,gmem_2banks,wide_mem_rw,wide_mem_rw_2x,wide_mem_rw_4x,3d-rendering,digit-recognition,optical-flow,spam-filter
u50_fast,0.9540975485359879,0.8974527199137821,0.8161575792178133,0.8655387525774073,0.8502454364357347,0.9036675454816178,0.9183434794866708,0.8868143001881604,0.9517381844645586,0.895684652837991,1.0,1.0,0.9514505304178393,0.8985440571552283,0.947144095358509,0.901244082351646,1.0,1.0
u280_fast,1.0,0.9345107546761539,0.8976640711902114,0.8490032046132087,0.8974503011875832,0.9263103819450077,0.9183434794866708,1.0,0.931473037420159,1.0,1.0,1.0,0.9514505304178393,0.8985440571552283,0.9442437494058371,0.901244082351646,1.0,1.0
u280_ddr_fast,0.930061467682221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9234996384671007,0.9458380260059384,1.0,1.0,1.0,1.0,0.9234996384671007,0.9254220561801713
