fpgas,1,2,3,4,5,6,7,8,9,10,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
u50-fast,5.140256791999491,4.81075960599992,4.848302684998998,4.901735433000795,4.865273469999011,4.965219239000362,4.740372227999615,4.754784670998561,4.740782676999515,4.711448613999892,4.847893541499616,0.1241538350004414,524288,524288,1000,1.185119022,0.0500849315289272,0.0569753538,0.0005528102379814,0.8908907063999999,0.0003868750540923,0.0566354662,0.0001949871620884
u280-fast,5.299797599000158,5.279763705000732,5.430712868999763,5.394999172000098,5.307618774999355,5.405816728998616,5.523882367000624,5.394808704000752,5.187781823999103,5.222291807000147,5.344747355099935,0.0977219014759492,524288,524288,1000,1.2815699765999995,0.0438320850739371,0.0572568621,0.0002919744328188,0.9406190869,0.000277681589337,0.0566527752999999,0.0002832291357215
u280-ddr-fast,7.971109779999097,8.097311625999282,8.431482880998374,8.387603313,8.139452458999585,8.207443543000409,8.63126914300301,8.420333883001149,8.187603848000435,8.095452446999843,8.256906292300119,0.1920096511529091,524288,524288,1000,1.3521496577999996,0.0540748443664556,0.0581590267,0.0002636463302321,1.0327127942,0.0004845379912154,0.0563851322,0.0001339159623742
