app_name,1,average,stddev,kernel_input_data_size,kernel_iterations,time_cpu,data_to_fpga_ocl,kernel_ocl,data_to_host_ocl
cl_array_partition,18.29662022506818,18.29662022506818,0,32768,16000,11.381443554,1.205223308,5.944133723,0.817514632
cl_burst_rw,6.143528721295297,6.143528721295297,0,524288,1000,1.664092308,0.163604142,1.08155721,0.120417765
cl_dataflow_func,5.881028502248228,5.881028502248228,0,524288,1000,1.002398609,0.153262967,0.378691322,0.156167071
cl_dataflow_subfunc,5.838592444080859,5.838592444080859,0,524288,1000,1.103505965,0.161607958,0.423319309,0.161931286
cl_helloworld,5.985698077827692,5.985698077827692,0,524288,1000,1.351421825,0.179902815,0.724996817,0.122570193
cl_lmem_2rw,6.037799432873726,6.037799432873726,0,524288,1000,1.498670948,0.160758822,0.81427078,0.140414618
cl_loop_reorder,10.355930937919766,10.355930937919766,0,32768,16000,3.468466049,0.44827852,1.382878803,0.363373835
cl_partition_cyclicblock,24.78863607114181,24.78863607114181,0,32768,16000,17.885804425,1.319677153,11.603437373,1.102394023
cl_shift_register,42.30796512775123,42.30796512775123,0,524332,1000,37.193614683,0.168364262,36.486828986,0.13946764
cl_systolic_array,38.428153838030994,38.428153838030994,0,4608,114000,18.274907484,2.768694524,4.945156108,2.342285159
cl_wide_mem_rw,8.650024096947163,8.650024096947163,0,8388608,1000,3.681223227,1.251978804,1.544043791,0.496170713
cl_wide_mem_rw_strm,8.435259778052568,8.435259778052568,0,8388608,1000,2.842692332,1.249822099,0.74228857,0.487810272
cl_wide_mem_rw_2x,9.322148023173213,9.322148023173213,0,16777216,1000,2.4072132,2.243598273,1.590553941,2.349386819
cl_wide_mem_rw_4x,13.800796085968614,13.800796085968614,0,33554432,1000,4.321817678,4.291908643,3.105290398,4.149096655
