app_name,kernel_input_data_size,iterations,data_to_fpga_avg_time,kernel_avg_time,data_to_host_avg_time
cl_burst_rw,524288,1000,145136,1095083,163147
cl_helloworld,524288,1000,164070,795950,143479
cl_lmem_2rw,524288,1000,183251,776612,101895
cl_shift_register,524332,100,187306,36489648,162192
cl_wide_mem_rw,8388608,1000,1259955,1557072,512287
