setting,fpga,runs,buf_size,program_bs,program_bs_stddev,kernel_alloc,kernel_alloc_stddev,kernel_setarg,kernel_setarg_stddev,kernel_enqueue,kernel_enqueue_stddev,buf_alloc,buf_alloc_stddev,init_transfer,init_transfer_stddev,transfer,transfer_stddev,finish,finish_stddev,total,total_stddev,data_to_fpga_time_ocl,data_to_fpga_time_ocl_stddev,kernel_time_ocl,kernel_time_ocl_stddev,data_to_host_time_ocl,data_to_host_time_ocl_stddev,worker_init,worker_init_stddev,unikernel_boot,unikernel_boot_stddev
proteus,u50-fast,2,83886080.0,3523.9997205,120.76032188054002,0.0016735,0.0004886107857999043,0.003631,0.00013010764773832483,167.855829,0.007820600999913531,0.0015314999999999999,5.727564927611044e-05,185.61654249999998,0.04966081634951724,7.017101,0.0012317800128270593,0.0009765,2.4748737341529228e-05,4035.533776,120.91592426327419,14.548441,0.007824843640610035,167.80114700000001,0.006047177192693462,6.723529,0.0010097484835348502,392.962451,41.65427172198125,4.305007,0.03937029136290483
proteus,u280-fast,2,83886080.0,3957.797035,51.379497363942185,0.002157,0.000578413347010596,0.0032370000000000003,0.00018384776310850253,182.6978195,0.0026594286040406527,0.0015704999999999998,6.293250352560264e-05,78.6145875,1.9664519376645029,7.070181,0.013399673503485249,0.0009584999999999999,4.596194077712556e-05,4377.321551,53.263845011922506,14.7412435,0.02414557525717636,182.64092499999998,0.0024324473272700252,6.7250535,0.0021983949827085254,208.405465,31.38647456153434,4.379184,0.013853636057007034
proteus,u280-ddr-fast,2,83886080.0,7244.010205500001,5.621932366889903,0.0019585,0.0004942676400493968,0.0031745,0.00036981684656056435,218.7433165,0.0030044967132526537,0.0016145,0.00019445436482630062,181.595683,0.19142653358925132,7.2876505,0.06305907563943489,0.0014680000000000001,0.0002884995667241115,7802.930913,6.02359376734137,15.633061,0.19822890082427466,218.6849075,0.0038402969286352616,6.733064,0.0032088505730246608,254.88559,65.10359852970367,4.441974,0.0010974297244010492
native,u50-fast,2,83886080.0,3242.951365,18.778694184940786,12.3331625,0.033277152229419654,5.19312,0.009875453306051269,167.85515700000002,0.0021736462453660487,0.0018325,9.404520189781089e-05,65.1814195,1.7366295058568186,7.0076315000000005,0.004503563089377327,0.0001735,4.949747468305819e-06,3931.5858765000003,0.5053840657563079,14.6744045,0.017091478008059373,167.8028815,0.0009496444071274765,6.72234,0.0011554124804582864,0.0,0.0,0.0,0.0
native,u280-fast,2,83886080.0,3828.3913715,75.38593027003787,17.0589905,0.4999930836566624,5.231831,0.08216297954675174,182.6842805,0.0010175266581308735,0.0019825,3.747665940288709e-05,159.931946,2.4114943391416075,7.0614715,0.0062416315575337545,0.0002005,5.8689862838483455e-05,4534.0363465,81.39976454958536,14.879673499999999,0.02520057857470845,182.6362765,0.0010528819971813259,6.732607,0.0059043416229077285,0.0,0.0,0.0,0.0
native,u280-ddr-fast,2,83886080.0,6482.8557550000005,3.7703428547609836,18.043305500000002,0.07765517381668795,0.0092125,0.001543614103330234,218.74104749999998,0.0005310371926768684,1.7594465000000001,0.008528414887890863,158.91107699999998,1.1598813953159195,7.3169985,0.10700010523592973,0.00016350000000000002,3.5355339059327276e-06,7260.7056515,1.2347152130758703,15.9322165,0.16478062875380656,218.689757,7.778174591501485e-05,6.722818500000001,0.003369363812353834,0.0,0.0,0.0,0.0
