app_name,kernel_input_data_size,iterations,data_to_fpga_avg_time,kernel_avg_time,data_to_host_avg_time
cl_burst_rw,524288,1000,151848,2549716,173942
cl_helloworld,524288,1000,186778,1609591,134628
cl_lmem_2rw,524288,1000,189556,1711427,111262
cl_shift_register,524332,100,188460,60605697,167590
cl_wide_mem_rw,8388608,1000,1260262,1902159,499503
