app_name,kernel_input_data_size,iterations,data_to_fpga_avg_time,kernel_avg_time,data_to_host_avg_time
cl_burst_rw,524288,1000,173529,1288851,135521
cl_helloworld,524288,1000,193856,948091,96769
cl_lmem_2rw,524288,1000,171942,918160,79169
cl_shift_register,524332,100,173841,57468938,168407
cl_wide_mem_rw,8388608,1000,912151,1457411,489316
