app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,data_to_fpga_ocl,kernel_ocl,data_to_host_ocl
cl_array_partition,22.185273666866124,22.185273666866124,0,32768,16384,16000,15.108588855,1.323805378,8.403004108,1.170610653
cl_burst_rw,7.942496905103326,7.942496905103326,0,524288,524288,1000,3.308690984,0.16080673,2.537246297,0.161484026
cl_dataflow_func,6.279153098817915,6.279153098817915,0,524288,524288,1000,1.617484731,0.159339972,0.938008785,0.163294862
cl_dataflow_subfunc,6.151240016333759,6.151240016333759,0,524288,524288,1000,1.484234006,0.16186102,0.901170973,0.163038128
cl_helloworld,6.912282560952008,6.912282560952008,0,524288,262144,1000,2.295953512,0.152512337,1.602199469,0.146234791
cl_lmem_2rw,7.053516350220889,7.053516350220889,0,524288,262144,1000,2.405131173,0.165701854,1.710121042,0.132352897
cl_loop_reorder,11.443198716733605,11.443198716733605,0,32768,16384,16000,4.510358707,0.474853528,1.898427942,0.424032096
cl_partition_cyclicblock,30.070365203078836,30.070365203078836,0,32768,16384,16000,23.157250683,1.317541939,15.747617952,1.331547257
cl_shift_register,66.48590277414769,66.48590277414769,0,524332,524288,1000,61.406430454,0.163404103,60.592863096,0.176351007
cl_systolic_array,43.9146115090698,43.9146115090698,0,4608,2304,114000,22.723369665,3.102618802,4.95862134,2.791154266
cl_wide_mem_rw,8.993073854129761,8.993073854129761,0,8388608,4194304,1000,4.255833223,1.263559648,1.93278634,0.485563785
cl_wide_mem_rw_strm,8.391990992706269,8.391990992706269,0,8388608,4194304,1000,3.078326687,1.222339736,0.822735178,0.494847206
cl_wide_mem_rw_2x,10.992981982883066,10.992981982883066,0,16777216,8388608,1000,4.712861612,2.433762481,0.968073492,1.251769344
cl_wide_mem_rw_4x,16.629187120124698,16.629187120124698,0,33554432,16777216,1000,7.911274946,4.427379175,1.070021434,2.308938844
