app_name,1,2,3,4,5,6,7,8,9,10,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
3d-rendering,32.650612354977056,33.30060960096307,32.80409221397713,32.75639891484752,33.32021369202994,32.73655781103298,32.7721270758193,32.66045607998967,32.74009831715375,32.67651311890222,32.841767917969264,0.23898382284798908,38304,65536,13687,25.393191759499995,0.02720690534086197,0.24983413870000004,0.011355204128641149,24.5037550106,0.010664030407936578,0.2982828717,0.018292311122273426
digit-recognition,18.86948940390721,19.525342447916046,19.41349498089403,18.925092368153855,18.909562713000923,18.833194592036307,18.929705273127183,18.825151070021093,19.285608887905255,19.353318825131282,19.08699605620932,0.2592000946831863,640000,2000,16,11.777125165600001,0.0001159496623405123,0.001954229,3.8317867326411164e-05,11.7742495665,5.1444862376473845e-05,0.0002520452,2.2625495853621022e-05
optical-flow,13.194454750977457,13.282871284987777,13.814812283031642,13.298807678045705,13.290861957008019,13.310973233077675,13.374863158911467,13.80692413309589,13.795013139024377,13.31090020108968,13.44804818192497,0.2377437625448656,3571712,3571712,1460,5.397738594399999,0.009917174224600684,1.0144633819000002,0.008241183779182022,3.3669656641999994,0.0022847442814098676,0.9734410724,0.0037788547919569374
spam-filter,41.30642368202098,41.31053575407714,41.29817529488355,40.766535963863134,40.886138811009005,40.6665683768224,40.68214034498669,40.666502851992846,40.674206661991775,40.64674970996566,40.890397745161316,0.2794527759142474,9220500,4096,560,14.727282214899997,0.003545988903881778,1.0232110193000001,0.0033352636382811517,13.6757910492,0.0006070760074260579,0.0069735089,0.00028260819321552675
