app_name,1,2,3,4,5,6,7,8,9,10,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
3d-rendering,31.15691100503318,31.40850788890384,31.22429051087238,31.188219320960343,31.204282006947324,31.420345953898504,31.24837376596406,31.18839510390535,31.164448102004826,31.20836000214331,31.241213366063313,0.09025231079231491,38304,65536,13687,20.833096824800002,0.02302050993075238,0.25123554409999993,0.012267928590174637,19.9369940963,0.005875541110959677,0.3030218404,0.02059047288510018
digit-recognition,33.85752934706397,33.84106536884792,33.921596706844866,33.74932344490662,33.761689425911754,33.713122762041166,33.80168716306798,33.745282921008766,33.88159263506532,33.74936028197408,33.80222500567324,0.06598049340141103,640000,2000,16,23.506143068199997,0.00012938232480817134,0.0020218180000000003,4.3914633620240965e-05,23.503119360299998,2.9599927004266286e-05,0.0002957585,4.079904159345468e-05
optical-flow,15.086374475853518,15.014941172907129,14.774430397897959,14.750862529035658,14.87850420596078,14.886724343989044,14.890432683052495,14.774834770010784,14.886475827079266,15.014781140955165,14.89583615467418,0.10748816062504551,3571712,3571712,1460,3.8467338327,0.014071368741784582,1.0119498041000001,0.006693757792948474,1.8191669607,0.002376796330324865,0.9722500299,0.004272300557183942
spam-filter,38.53041945910081,38.39867833815515,38.42679149005562,38.34669938497245,38.63868834893219,38.63866041088477,38.83460655808449,38.43468475993723,38.4266571700573,38.48270242521539,38.51585883453954,0.1406784043799446,9220500,4096,560,9.260983035,0.0031386882108496287,1.0187417553999998,0.0028020786378034914,8.2132490775,0.0009012576637441287,0.007101307499999999,0.0006053271561908116
