app_name,1,2,3,4,5,6,7,8,9,10,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
3d-rendering,35.62540192203596,35.827970135957,35.796232918975875,35.59200150799006,35.816213112091646,35.78787721414119,35.8963500589598,35.879850493976846,35.86023440095596,35.79978365194984,35.78819154170342,0.09635739519839585,38304,65536,13687,25.3725596985,0.01908789794690494,0.24815590430000004,0.011762216982246117,24.4935699277,0.006855009599369297,0.2887455739,0.010655982216488804
digit-recognition,22.081602348014712,22.017857952974737,22.065402291016653,21.949736400973052,22.041192305041477,22.27787372493185,22.149412355851382,22.17371337208897,22.173359315143898,22.177865925012156,22.11080159910489,0.09171288636534682,640000,2000,16,11.776867683,0.00012714378467261117,0.0,0.0,11.773942493899998,3.844895075154395e-05,0.0022326314000000002,0.00010039762771455864
optical-flow,16.4985393229872,16.626974849961698,16.419012896018103,16.278882357059047,16.522972169099376,16.635067936964333,16.602972246939316,16.510939036961645,16.747016401030123,16.622880242066458,16.54652574590873,0.12471603320909838,3571712,3571712,1460,5.395189277599999,0.011797866717013938,1.0115664562000002,0.008021621119485943,3.3669699172999996,0.0011375575646052627,0.9740042765000002,0.006043351131272673
spam-filter,44.010561352130026,43.98200907907449,43.766504616010934,43.79810824315064,43.97445824206807,43.8740563809406,44.00651477789506,43.79412783798762,43.962322843959555,43.9901482318528,43.91588116050698,0.09241882441991404,9220500,4096,560,14.720875384300001,0.00320507967383335,1.0164236735999999,0.002925321895028718,13.6754918944,0.0003282005073464064,0.0071730647,0.00042482166784037494
