app_name,slowest_time,slowest_fpga,fastest_time,fastest_fpga,speedup
cl_array_partition,7.482436505500001,u280_ddr,7.3673724997,u280_hbm,1.0156180518637663
cl_burst_rw,2.7050962938,u280_ddr,2.6787651734,u280_hbm,1.009829573962461
cl_dataflow_func,1.0926413922,u280_ddr,0.9593891918999999,u280_hbm,1.138892746994683
cl_dataflow_subfunc,1.1124224805999998,u280_ddr,0.9404707094,u280_hbm,1.1828358602573612
cl_helloworld,1.6678714673,u280_ddr,1.6286676755999996,u280_hbm,1.0240710810973501
cl_lmem_2rw,1.8896137166,u280_ddr,1.8109268993,u280_hbm,1.0434511284416923
cl_loop_reorder,2.2544843638999996,u280_ddr,2.1847060403,u280_hbm,1.0319394565277156
cl_partition_cyclicblock,16.220102497699994,u280_hbm,16.0733021006,u50_hbm,1.0091331822285923
cl_shift_register,81.51554935380001,u280_ddr,60.734418701200006,u50_hbm,1.3421639837344719
cl_systolic_array,3.9471915497000003,u280_ddr,3.8184194330000003,u280_hbm,1.0337239318413034
cl_gmem_2banks,9.780980703900001,u280_ddr,9.6909406212,u50_hbm,1.0092911602928438
cl_wide_mem_rw,10.3952020689,u50_hbm,8.8677087512,u280_ddr,1.1722534377883458
cl_wide_mem_rw_strm,8.5573615136,u50_hbm,7.137590626300001,u280_ddr,1.19891458639678
cl_wide_mem_rw_2x,8.001773919200001,u280_ddr,7.803555946400001,u280_hbm,1.0254009805480337
cl_wide_mem_rw_4x,7.447661321299998,u280_ddr,6.482016303799999,u280_hbm,1.1489729387033325
