app_name,1,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
3d-rendering,7.2654657159000635,7.2654657159000635,0.0,38304,65536,1,0.060573671,0.0,0.000152779,0.0,0.001567172,0.0,5.3426e-05,0.0
digit-recognition,8.80965063511394,8.80965063511394,0.0,640000,2000,1,1.902198303,0.0,0.00071461,0.0,1.762902499,0.0,2.0302e-05,0.0
optical-flow,8.454737285152078,8.454737285152078,0.0,3571712,3571712,1,0.16257843,0.0,0.002781058,0.0,0.001713881,0.0,0.001673107,0.0
spam-filter,26.382701735012233,26.382701735012233,0.0,9220500,4096,1,0.130372916,0.0,0.007147845,0.0,0.015602039,0.0,3.0579e-05,0.0
