app,reps,avg_time,stddev
array_partition,2,11.036753281514393,0.056863478826019914
burst_rw,2,5.039914894994581,0.028133192232162554
dataflow_func,2,4.637919389002491,0.07633875735345724
dataflow_subfunc,2,4.502921020481153,0.033994666921626844
helloworld,2,4.570776907989057,0.11321011496465391
lmem_2rw,2,4.864921672487981,0.025494411900199094
loop_reorder,2,7.238217411009828,0.07351884239951913
partition_cyclicblock,2,15.759380706003867,0.048090404331889894
shift_register,2,27.025751051987754,0.08771729342886209
systolic_array,2,14.913045620007324,0.05371737621998632
gmem_2banks,0,0,0
wide_mem_rw_strm,0,0,0
