app_name,1,2,3,4,5,6,7,8,9,10,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
3d-rendering,33.062613639980555,33.275054024066776,33.734122356865555,33.770913096144795,33.773628217866644,33.22770928195678,33.13063028501347,33.60817139898427,33.0973309900146,33.08809876511805,33.376827205601145,0.29109344967194833,38304,65536,13687,25.982385861299996,0.026710877560731962,0.2581656606,0.011348971829546554,24.661568265699998,0.009217708449205898,0.27990132240000004,0.019416662474759698
digit-recognition,19.119239718886092,19.04133660485968,19.508168369997293,19.47736551822163,19.596317023970187,19.065766633022577,18.86134535097517,18.917353972094133,19.600392360938713,18.885538909118623,19.20728244620841,0.2884313921494273,640000,2000,16,11.814531751999999,0.00024230484044506078,0.0,0.0,11.7744176885,5.164743468986279e-05,0.0025229040000000003,5.33561487490742e-05
optical-flow,13.631368992850184,13.527685618959367,13.587900614133105,14.047635162016377,13.790411999914795,13.75953344302252,13.417225624900311,13.563454665010795,13.551841143053025,13.563675347948447,13.644073261180893,0.16952903350876183,3571712,3571712,1460,5.5649379655,0.013225226100538633,1.1075077759999998,0.011269139494842723,3.36995412,0.001205262657237208,0.9935659440999999,0.004342622601263012
spam-filter,43.99104657396674,44.09603122994304,44.05462692398578,43.98026921902783,44.03903367300518,44.49539765017107,43.99348608381115,44.068401746917516,44.084995849989355,43.98245262610726,44.07857415769249,0.1449594692622394,9220500,4096,560,15.280364732999999,0.005018992255185143,1.1160237627,0.0045379880891661005,14.066797111099998,0.0004920178097690677,0.007064329999999999,0.00043567222532286547
