app_name,1,2,3,4,5,6,7,8,9,10,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,data_to_fpga_ocl,kernel_ocl,data_to_host_ocl
cl_array_partition,11.012602728093043,10.638986131059937,10.770240369951352,10.416278513963334,10.368515156093054,10.480904203956015,10.416849612025544,10.468549009994604,10.5407283710083,10.323838887969032,10.543749298411422,0.21114119502507273,32768,16384,16000,10.801024641,0.271291102,4.703524946,0.268197655
cl_burst_rw,5.0031344490125775,4.896008273935877,4.716533796978183,4.739977001911029,4.828453413094394,5.108095285017043,4.988373322063126,4.847907642950304,4.732092013000511,4.876129170996137,4.873670436895918,0.12939874854340327,524288,524288,1000,4.942088539,0.060131516,0.893848199,0.059567045
cl_dataflow_func,4.596455779974349,4.2893575839698315,4.193898700992577,4.289493104093708,4.1977268980117515,4.321388115989976,4.1535274480702356,4.233316011028364,4.11336597695481,4.141449645976536,4.252997926506214,0.13906988529094866,524288,524288,1000,4.534230295,0.059807428,0.29974866,0.056639979
cl_dataflow_subfunc,4.812497170991264,4.373458763002418,4.169401322957128,4.273667986039072,4.273302064975724,4.381681254948489,4.277603716938756,4.089737039990723,4.185618004063144,4.289753473945893,4.312672079785261,0.19705556429079146,524288,524288,1000,4.739613872,0.06187599,0.316650876,0.056963347
cl_helloworld,4.9202687829965726,4.61732470698189,4.4089332500007,4.509096797090024,4.389168871915899,4.4133515529101714,4.493280640104786,4.497207186999731,4.417210440966301,4.38898268295452,4.505482491292059,0.16244303688820463,524288,262144,1000,4.864387567,0.076704921,0.55097904,0.039443867
cl_lmem_2rw,4.796679030987434,4.725479429936968,4.381878496031277,4.517540836008266,4.301736655994318,4.701368881971575,4.537466021953151,4.413560657994822,4.38953099201899,4.333580943057314,4.509882194595411,0.17662740468376742,524288,262144,1000,4.730386581,0.075976251,0.587950507,0.034293389
cl_loop_reorder,7.115170091972686,6.936387016088702,6.788144043995999,6.884466941934079,6.419896709034219,7.008115802076645,6.972005084971897,6.820467210025527,6.632343392004259,6.7763426810270175,6.835333897313103,0.19977424808347324,32768,16384,16000,6.899649796,0.279798979,1.106705105,0.219328809
cl_partition_cyclicblock,18.172433427069336,18.333408536971547,18.28174952697009,16.961380145978183,17.981861629988998,18.16151992196683,16.597460245946422,17.473448383971117,16.94548326008953,17.521212377003394,17.642995745595545,0.6356556854646678,32768,16384,16000,17.952184958,0.91608492,10.373137318,0.288907891
cl_shift_register,41.28116667398717,41.0856327629881,41.0253896570066,40.93018660694361,40.98200222093146,40.878464531037025,40.98590702400543,40.998196989065036,40.93370226898696,40.97392382402904,41.007457255898046,0.11141619457125881,524332,524288,1000,41.162480324,0.106132293,36.327427127,0.112725848
cl_systolic_array,13.710469665005803,13.413725382997654,13.555417339899577,13.63488279900048,13.651789443916641,13.635296482010745,13.432260295958258,13.489611357916147,13.450657536974177,13.555301818996668,13.552941212267616,0.103554738852599,4608,2304,65400,12.965561128,0.998266932,1.83764644,0.834126321
cl_gmem_2banks,14.560921357944608,14.479654539027251,14.411421925993636,14.492511737975292,14.184035814017989,14.531455533928238,14.344316929928027,14.34102156595327,14.40039669093676,14.399755841004662,14.414549193670974,0.11020838075715612,71663616,71663616,500,12.890550071,3.0649817,2.831110356,2.86390502
cl_wide_mem_rw,15.38902867003344,15.232808946981095,15.348702757037245,15.636150734964758,15.243666948983446,15.513731648912653,15.402350755990483,15.43577905499842,15.392347626038827,15.324569056974724,15.39191362009151,0.12028986439167261,33554432,16777216,1000,14.947884306,4.244778401,5.133390051,1.440720645
cl_wide_mem_rw_strm,13.088756783981808,12.669004427967593,13.141401009983383,13.09408677497413,12.710190391982906,13.11507206398528,12.985937445890158,12.946937148924917,13.181733163073659,13.079873078037053,13.00129922888009,0.17823728998083543,33554432,16777216,1000,12.646744533,4.257612316,2.201837748,1.447206365
cl_wide_mem_rw_2x,13.853856232948601,13.319252062938176,13.607344268006273,13.718419909011573,13.414846215979196,13.492329714004882,13.594947086996399,13.523149837041274,13.550589193939231,13.587600416969508,13.56623349378351,0.1491975967889945,33554432,16777216,1000,13.403340458,9.578092606,2.268903151,1.528342678
cl_wide_mem_rw_4x,15.648606450064108,15.554716714075767,15.591580628999509,15.459015847067349,15.486684235977009,15.174910458968952,15.271215996937826,15.306724610039964,15.867982184048742,15.376216982956976,15.47376541091362,0.20400248100897414,33554432,16777216,1000,15.179802457,11.156938825,2.401625988,1.56639811
