signal_size[MB],save_fpga[s],stddev,load_fpga[s],stddev,sync_fpga[s],stddev,save_fpga_state[s],stddev,load_fpga_reconf[s],stddev,worker_init[s],stddev,fpga_reconf[s],stddev,load_fpga_state[s],stddev,loop_num
1,0.067201873,0.0033753954331974187,0.15573056400000002,0.05155087034921721,2.05e-07,4.808326112068523e-08,0.00033146,1.491995308303617e-05,0.25099503300000003,0.05156811668361034,0.133349419,0.05154456578515614,0.09520261399999999,1.6788129198936064e-05,0.022381144999999998,6.3045640610600865e-06,2
50,0.072765701,0.0002252785636317891,0.1538565075,0.030697809832307903,1.205e-07,3.6062445840513925e-08,0.00888855,2.528472428166879e-05,0.248961066,0.03150837128532952,0.1191695795,0.03069157032207072,0.095045169,0.0008115521096220482,0.034686928,6.239510237193273e-06,2
100,0.07289298450000001,0.011477145624854308,0.2062284085,0.0369160432264521,1.73e-07,1.0889444430272831e-07,0.017574416500000002,7.810347951595932e-05,0.30072193950000004,0.037224370067320704,0.15942852149999998,0.03669005331339844,0.094438176,0.0003095501356000377,0.046799887,0.00022598991305365632,2
200,0.09384820499999999,0.009094732466302567,0.2152318085,0.010428489297791901,1.31e-07,4.808326112068524e-08,0.034792881,5.996265504445938e-07,0.30878962600000004,0.010256320817388283,0.14405982550000002,0.010701026636037522,0.093497994,0.00016919792481588465,0.071171983,0.000272537338245612,2
400,2.0729772349999998,0.04191661540886921,0.3005258095,0.033693809950486805,9.9e-08,8.485281374238571e-09,0.06834327949999999,8.95692159729556e-06,0.39409565950000003,0.032864802202864404,0.18314544500000002,0.03344237197148505,0.0935117415,0.0008287213693760393,0.1173803645,0.0002514379790017742,2
600,7.879029523,0.04131627892321503,0.30538462899999996,0.0031470862099014694,1.025e-07,1.0606601717798214e-08,0.1020150935,1.0079807165807732e-05,0.398764803,0.002845720128186895,0.1430077495,0.002790416599723518,0.0933229085,0.0003035093223683612,0.16237687950000002,0.00035666961017797157,2
800,13.7401588465,0.03748690043039777,0.3768936315,0.01129653216816292,8.05e-08,1.0606601717798204e-08,0.1356841015,9.151022408725268e-05,0.46993823300000004,0.011003686016054873,0.1689746595,0.011235143985847457,0.0929792025,0.00028957083349760845,0.207918972,6.138818231548393e-05,2
1000,19.497335364,0.04615032392312854,0.434782719,0.05715929909790677,1.03e-07,3.252691193458118e-08,0.16906374149999998,4.213437177056269e-05,0.5273753255,0.057738502283191974,0.18095408200000002,0.05646913176677034,0.0925314535,0.0005825704277771913,0.253828637,0.0006901673311364491,2
