app_name,1,2,3,4,5,6,7,8,9,10,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
3d-rendering,28.31884289206937,28.320168321952224,28.214638493955135,28.811674586031586,28.412058810004964,28.27580470102839,28.31970564299263,28.291428975062445,28.691999254049733,28.354590272996575,28.401091195014306,0.18382406390628533,38304,65536,13687,21.2755717133,0.031011740262085596,0.2419927185,0.013179571746019525,19.969964246,0.009861360597651352,0.2826394505,0.019118682254840584
digit-recognition,35.019421057077125,35.43640834093094,35.67116652498953,35.09249608893879,35.13115554302931,35.6841988589149,35.522921805037186,35.124531579902396,35.155405540019274,34.884718311950564,35.272242365079,0.26840572420159137,640000,2000,16,28.241348124199998,0.00027888245950088075,0.0,0.0,28.2046024468,4.896923195427176e-05,0.0023991700000000004,0.0001001492752611487
optical-flow,12.055872787022963,11.630456019891426,12.188137090066448,11.634833195013925,11.627964822109789,12.266369422199205,11.655767363961786,11.654548203805462,12.096043145051226,12.046568033983931,11.885656008310615,0.25224396102004865,3571712,3571712,1460,3.9731343928,0.012343936025866357,1.0183274029,0.008777934802807207,1.8731634261,0.0023449685921584544,0.9891761934000002,0.005345806712320099
spam-filter,38.279358538100496,38.15339576709084,37.720166811021045,37.74387744395062,37.75587817188352,38.384088263846934,37.768402558984235,38.25955743691884,37.72076720208861,37.75431934790686,37.9539811541792,0.262822397677746,9220500,4096,560,9.3349686529,0.004807090978381464,1.0257500391999999,0.003985188468077182,8.214576882299998,0.0007481665722151386,0.0070900278999999995,0.0003251862789450071
