app_name,1,2,3,4,5,6,7,8,9,10,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
cl_array_partition,13.554360477020964,14.281596201006323,14.03391734790057,13.70076738204807,13.742575125070289,14.062984263990074,13.983161253854632,14.606175517197698,13.672836053883657,13.956660711904988,13.959503433387727,0.29984383572435186,32768,16384,16000,13.7116852594,0.3099668275162943,0.2760157887,0.008156709435593733,4.5933043076,0.0041352957724210175,0.22858899670000002,0.020286335016968617
cl_burst_rw,8.68923173705116,8.077191944001243,8.753420680994168,8.63368362491019,8.153045916929841,8.81709470693022,8.237357998033985,7.969377122120932,8.266151815885678,8.28947090706788,8.38860264539253,0.29035324526274603,524288,524288,1000,8.316558240700001,0.3081944745002791,0.07029631830000001,0.018607906145470247,1.0754431458,0.015538365919472814,0.07366895300000001,0.02104470760097627
cl_dataflow_func,7.517433390021324,7.909452787134796,7.6774775700178,7.533613990992308,7.425616124877706,7.505560955032706,7.525293007027358,7.993511912878603,7.929334897082299,7.4012205810286105,7.641851521609351,0.2105252030809429,524288,524288,1000,7.5637223790000006,0.22247032114794738,0.06489833539999999,0.0024591593274353022,0.4309399696,0.0003628947727577992,0.057856249699999994,0.00261306549205016
cl_dataflow_subfunc,7.564683883916587,7.572908116038889,7.540836388943717,7.569028114899993,7.8328586120624095,7.56896763201803,7.781163320876658,7.428879864979535,7.481028428999707,7.792849622899666,7.613320398563519,0.1316434809879468,524288,524288,1000,7.540519320300001,0.13925122618967564,0.06600953280000002,0.0038908304951461295,0.4211462764,0.00034903046412318033,0.0582755884,0.0020782243493177436
cl_helloworld,7.872717935126275,7.757020119810477,7.949270831886679,8.325307897059247,7.561174999922514,7.861212068935856,7.628949933918193,7.797306380933151,8.277075934922323,8.073288505896926,7.910332460841164,0.23999386468730485,524288,262144,1000,7.8446821098,0.25445276553944,0.0706362699,0.0006587532444286038,0.7091220122999999,0.00026064799678111346,0.0343490831,0.00016483222722948676
cl_lmem_2rw,8.325525191845372,7.698700222885236,8.118023859104142,8.129780354909599,7.709637762978673,8.321589516010135,7.805981762940064,8.041512966854498,7.805921462131664,8.22571348794736,8.018238658760675,0.23235830027068752,524288,262144,1000,7.948397785599999,0.2458784642071556,0.05755878459999999,0.0011729275582410775,0.7274059495,0.0005133612096587329,0.035339878400000004,0.0017761117948407656
cl_loop_reorder,10.785431345924735,10.16806410299614,10.14022274990566,10.01890862500295,10.541530612157658,10.157304493011907,10.04508300498128,10.633289388846606,10.16091870283708,10.06499789794907,10.271575092361308,0.26054657551138705,32768,16384,16000,10.044904151599999,0.27690319317125306,0.275898592,0.005916989727278524,1.2560509651000002,0.0029106488838003186,0.21328878140000002,0.007837762965034651
cl_partition_cyclicblock,22.17759302817285,21.813900616019964,22.441913202870637,21.0056207368616,21.87344389106147,21.229710581945255,22.14967513992451,21.51811512093991,21.79347625002265,21.737810858059675,21.77412594258785,0.41417772634428435,32768,16384,16000,21.539785681900003,0.4409310296382099,0.557261523,0.17714887233003024,11.214208456400002,0.0880428513427297,0.44743592099999996,0.13687148201794555
cl_shift_register,65.9332320340909,65.66087747900747,65.62977845501155,66.40554828499444,65.03355039120652,65.62120288494043,66.44540861202404,66.52100624213926,66.54562639282085,64.74141502613202,65.85376458023674,0.6030124545260189,524332,524288,1000,65.7365930949,0.6347687661989744,0.1096974315,0.01694980365232918,57.72258642430002,0.4108505821277185,0.08815103700000002,0.019044488354917687
cl_systolic_array,16.885843364987522,17.262027692981064,16.537213511997834,16.669962691143155,16.75578138208948,16.580984004074708,16.800268717110157,17.237202648073435,16.967254088027403,16.511785495094955,16.820832359557972,0.2558468861349331,4608,2304,65400,16.0364343091,0.27079208519115217,1.0081715085,0.035917667665856565,1.7582973561,0.01252584583897348,0.8182513346,0.018157249534138966
cl_gmem_2banks,17.847406483022496,17.74008295708336,17.604773374041542,17.683766302186996,17.56103369104676,18.18102668086067,18.308765148976818,18.260143592953682,18.28524202713743,17.56490198103711,17.903714223834687,0.30223930371667557,71663616,71663616,500,16.213315756500002,0.32066604655871794,3.6361585605,0.058371935616220984,2.3524616455,0.009596700856961354,3.0392099499,0.009856671232674263
cl_wide_mem_rw,17.498755831969902,17.25083858310245,17.574316485086456,16.87907916121185,17.31956557300873,16.794361440930516,16.983518993947655,16.84360145404935,16.683075700188056,16.649965309072286,17.047707853256725,0.3202319556504586,33554432,16777216,1000,16.593016779800003,0.3382592271908658,2.8924007418,0.016085614657142436,4.6523770221,0.07715090843667131,1.5388560595,0.001378155016481533
cl_wide_mem_rw_strm,14.953055195044726,14.189235175959766,14.473693014122546,14.947758771013469,14.313346174079925,14.402062624925748,14.909388757077977,15.016250403830782,14.636391889071092,14.187788335839286,14.602897034096532,0.3149221568215404,33554432,16777216,1000,14.149702003799998,0.3321909755937604,2.9089417769,0.027367115701755252,2.3648453907,0.01972976386333619,1.535606306,0.00517291705404542
cl_wide_mem_rw_2x,15.675100959837437,15.790542314993218,15.690646493108943,15.536486810073256,15.566024024039507,15.178392067085952,15.231213493971154,15.29070572508499,15.192118814913556,15.757797589991242,15.490902829309926,0.23173616583748055,33554432,16777216,1000,15.026445544999998,0.2426515282832132,11.3840567992,0.24969813793715162,2.0605001626999995,0.015711263549976432,1.5540711181,0.03251853258637592
cl_wide_mem_rw_4x,15.651472372934222,15.11473434814252,15.168093803105876,15.19840354193002,15.262602237984538,15.601494353963062,15.298661960987374,15.887377759907395,15.98843089910224,15.587258135899901,15.475852941395715,0.2949747288374689,33554432,16777216,1000,14.98307863,0.30938572341372944,11.5836655971,0.2821126783108544,1.8656848101000005,0.02587506099097506,1.4799099513999998,0.040421695549391796
