signal_size[MB],fpga,saved_page_size[Bytes],save_vm[s],stddev,load_vm[s],stddev,save_fpga[s],stddev,load_fpga[s],stddev,sync_fpga[s],stddev,save_fpga_state[s],stddev,worker_init[s],stddev,fpga_reconf[s],stddev,load_fpga_state[s],stddev,loop_num
100,u50-fast,215121920,0.16579606330000002,0.0007566606916554141,0.15364948979999998,0.0030838367561617447,0.018242742200000002,0.0003551879429049734,0.45243000999999994,0.03789799875693994,1.0280000000000002e-07,1.1487190934060232e-08,0.0182279469,0.0003546222255898835,0.40022225300000003,0.03779813685211161,0.0558464246,0.0006195227496553211,0.052207757,0.00028965042630192835,10
500,u50-fast,1053982720,0.6899247701,0.0031018984315673123,0.7251858998999999,0.013934714930297397,0.08581898489999998,6.62602341016925e-05,0.5962913007000001,0.039786545646528046,9.790000000000001e-08,1.0482260146446363e-08,0.0858042906,6.63652335341668e-05,0.4532964442000001,0.03923061747457026,0.0554674767,0.0007947303237149138,0.1429948565,0.001961483761327138,10
1000,u50-fast,2102558720,1.3398054901,0.004891387968738372,1.4295887161,0.02634504656822131,0.1687748491,0.00016798964114389677,0.685211803,0.024439124156202446,1.0160000000000001e-07,1.5457468529268737e-08,0.16876019650000001,0.000168185972625046,0.4283702021999999,0.024391819333023167,0.05606257839999999,0.00045490562295007924,0.25684160079999996,0.0001209468390187285,10
100,u280-fast,215121920,0.1673917295,0.0004408377016762122,0.1555290936,0.004160438325829576,0.018118963100000003,3.486917887842472e-05,0.28847815950000005,0.036453592278112026,1.0489999999999998e-07,2.9395577898724832e-08,0.018104133,3.5065504860348376e-05,0.23588113709999997,0.03628120819659494,0.0777816736,0.0006234520371810155,0.052597022400000006,0.0003022768112976355,10
500,u280-fast,1053982720,0.6958938775,0.0024101742970274115,0.7317570096,0.013567702079022529,0.0875233481,0.0011446915453647032,0.394079986,0.029433296375504604,1.038e-07,2.198383244315897e-08,0.0875085423,0.0011442631618144357,0.24737903920000007,0.029353945653408813,0.0754087306,0.0003744861207943493,0.1467009468,0.0002497980054523152,10
1000,u280-fast,2102558720,1.3480025726,0.0035763919566870334,1.4281073637000001,0.028522416786418595,0.1711272449,0.001938160374022954,0.49572640869999995,0.04073114154265586,1.011e-07,1.269689375836118e-08,0.17111249580000001,0.0019381901770403568,0.24078634179999997,0.04077793453254812,0.0751492806,0.0006239328206508928,0.2549400669,0.00023816425586856805,10
100,u280-ddr-fast,215121920,0.16623129730000002,0.0006249064161611279,0.15349708150000002,0.0028803664639209144,0.018249319899999998,0.00035968206839851434,0.29531180170000004,0.02730633257873586,1.09e-07,3.133333333333333e-08,0.018234376,0.00035982281493257193,0.2379216611,0.02728414560072486,0.0954068237,0.0004088311655360527,0.05739014060000001,0.00019082918746017688,10
500,u280-ddr-fast,1053982720,0.6944207144,0.003033811595161933,0.7295955275,0.013664038643999777,0.08733965860000001,0.00010438869614219131,0.39471977849999995,0.043097598108461616,1.04e-07,1.4772346537440224e-08,0.08732323369999999,0.0001019866294091225,0.24020649620000004,0.043133647095709,0.0923414437,0.0003525132231909239,0.1545132823,0.0002409925288685415,10
1000,u280-ddr-fast,2102558720,1.3435273414000002,0.004320958476680956,1.4267070469,0.02925979558331271,0.17117514820000002,0.0013805546433260354,0.5150074537000001,0.026594758441597748,1.0410000000000001e-07,1.8525957765014776e-08,0.1711602739,0.0013804274103534837,0.2484478545,0.026683794196848076,0.0919056209,0.00046140894188042013,0.26655959919999994,0.00047594570045187616,10
