signal_size[MB],saved_page_size[Bytes],save_vm[s],stddev,load_vm[s],stddev,save_fpga[s],stddev,load_fpga[s],stddev,sync_fpga[s],stddev,save_fpga_state[s],stddev,worker_init[s],stddev,fpga_reconf[s],stddev,load_fpga_state[s],stddev,loop_num
1,7503872,0.052142857,3.912563241661769e-05,0.014926006,1.5600189806537454e-05,0.0003394065,9.164810990958863e-06,0.202320381,0.009527965477427057,1.705e-07,1.1950104602052653e-07,0.000324472,9.120263263744098e-06,0.1694396235,0.009660250306944661,0.569919762,0.00038687509054991567,0.032880757499999996,0.0001322848295175979,2
50,110264320,0.5087002119999999,0.11072684222970869,0.20501694599999998,7.736596714318478e-05,0.0088766385,2.221375953097533e-05,0.22845685999999998,0.039800843025114836,1.135e-07,6.363961030678929e-09,0.008861727,2.267832868621569e-05,0.183053208,0.03995189376149834,0.5696104915,0.00027851026922624204,0.045403652,0.00015105073638350703,2
100,215121920,0.8310456804999999,0.014707421533348763,0.400154389,2.098692926563929e-05,0.0174089825,1.4361338725895677e-06,0.21158378,0.011649742611967363,9.85e-08,1.7677669529663686e-08,0.01739405,1.2218805178899668e-06,0.1532170635,0.011331316164943072,0.5691230654999999,7.272663955178888e-05,0.0583667165,0.0003184264470242714,2
200,424837120,1.62159397,0.027947983990251682,0.7905507304999999,6.272249281156754e-05,0.0343342145,2.1202596833875986e-05,0.2711140615,0.04498537327929837,9.749999999999999e-08,4.94974746830584e-09,0.0343185905,2.076701905666864e-05,0.18774658500000002,0.045632221127698984,0.5718920525,0.004219732548729176,0.0833674765,0.0006468478484006135,2
400,844267520,3.1534438555,0.056718403170594504,1.6050699284999999,0.0030277881035271135,1.9461452019999999,0.0002461000299106393,0.35056794150000004,0.00010509940220810656,9.350000000000001e-08,6.363961030678929e-09,0.0679402845,4.28725912501254e-05,0.21956957700000002,0.0006617218395428743,0.568347105,0.00014968884872297166,0.13099836450000002,0.0007668212417509809,2
600,1263697920,4.906031744,0.10666124835267633,2.3767559179999997,0.01141561672828959,7.7394755535,0.006517166321424916,0.3787351175,0.027862973491697033,6.15e-08,1.6263455967290596e-08,0.101182701,2.2995112524192254e-05,0.2004634965,0.027213545410651893,0.5677993459999999,0.0001061225857204356,0.178271621,0.0006494280810451593,2
800,1683128320,6.501126725500001,0.023113593215121825,3.1406150485,0.005227071212353284,13.570084921500001,0.0007769979225452695,0.384636377,0.0008994058845438061,8.95e-08,3.323401871576774e-08,0.134164704,7.956789765979863e-05,0.15978704700000002,0.0013187187915738546,0.568300302,0.0007607606295294024,0.22484933000000001,0.00041931290703004864,2
1000,2102558720,7.864834574,0.3084398054195172,3.8804389830000003,0.009772051667224741,19.422574165500002,0.02586511540634661,0.42522887249999997,0.0018562069194096981,7.5e-08,1.5556349186104043e-08,0.166993806,3.5741419361844386e-05,0.154067685,0.0028625916959859965,0.5680823435,4.7983559064579615e-05,0.27116118749999996,0.0010063847765762984,2
