app_name,1,2,3,4,5,6,7,8,9,10,average,stddev,kernel_input_data_size,kernel_output_data_size,kernel_iterations,time_cpu,time_cpu_stddev,data_to_fpga_ocl,data_to_fpga_ocl_stddev,kernel_ocl,kernel_ocl_stddev,data_to_host_ocl,data_to_host_ocl_stddev
3d-rendering,30.249819069867954,30.273280636873096,30.89406245481223,30.09696220094338,30.331329782959074,30.697215203894302,30.775250292848796,30.25170194194652,30.630789879942313,30.764126301044598,30.496453776513228,0.26892711277933173,38304,65536,13687,23.0647445472,0.03786635167923366,0.24973379910000001,0.01139314346258257,21.732240414899998,0.004932430373840727,0.30046445349999995,0.021431962986838245
digit-recognition,35.33576892409474,35.76926713902503,35.44371003913693,35.28093714895658,35.81545573309995,35.84903572220355,35.235238041961566,35.221239782869816,35.2873441928532,35.161315855104476,35.43993125793058,0.25369766325892923,640000,2000,16,28.244909070400002,0.0003519703873783514,0.0021369598999999998,9.001628332875233e-05,28.204603068199997,4.929977756310317e-05,0.0002936474,4.951910320315227e-05
optical-flow,12.135491480119526,12.122237945906818,12.303997026989236,12.102406042162329,12.163786638062447,12.710214950842783,12.192339890869334,12.110729972831905,12.623861633939669,12.113946617813781,12.257901219953784,0.21301293943845778,3571712,3571712,1460,4.116356688800001,0.00839858163774365,1.0426623151000003,0.006129801689920139,1.9778286008,0.0026633485760477887,0.9987956587,0.006092004423573186
spam-filter,38.7422311459668,38.74567036307417,38.58655345905572,38.548758764984086,38.0546335328836,38.05660263821483,38.19174661906436,38.54090030491352,38.67591414810158,38.550856050802395,38.4693867027061,0.253910348700129,9220500,4096,560,9.362390907,0.003972315728548495,1.0488291517000001,0.003784210614002856,8.2146354538,0.0003305116958082937,0.007207638400000001,0.00022127409882275462
