signal_size[MB],src_fpga,dst_fpga,saved_page_size[Bytes],save_vm[s],stddev,load_vm[s],stddev,save_fpga[s],stddev,load_fpga[s],stddev,sync_fpga[s],stddev,save_fpga_state[s],stddev,worker_init[s],stddev,fpga_reconf[s],stddev,load_fpga_state[s],stddev,loop_num
1000,u50-fast,u50-fast,2102558720,7.234790225,0.0,3.869515647,0.0,0.164060761,0.0,0.6842613129999999,0.0,9.5e-08,0.0,0.164046396,0.0,0.446943732,0.0,0.311873255,0.0,0.237317581,0.0,1
1000,u50-fast,u280-fast,2102558720,7.107667488,0.0,3.87100497,0.0,0.167036045,0.0,0.580377299,0.0,1.42e-07,0.0,0.167020962,0.0,0.222575656,0.0,6.737084813,0.0,0.357801643,0.0,1
1000,u50-fast,u280-ddr-fast,2102558720,7.24043123,0.0,3.957146454,0.0,0.167035297,0.0,0.470006955,0.0,9.4e-08,0.0,0.167020032,0.0,0.202538693,0.0,7.452441722,0.0,0.267468262,0.0,1
1000,u280-fast,u50-fast,2102558720,7.800849621,0.0,3.866709365,0.0,0.167455335,0.0,0.661842974,0.0,1.05e-07,0.0,0.167442199,0.0,0.425439306,0.0,0.310261733,0.0,0.236403668,0.0,1
1000,u280-fast,u280-fast,2102558720,7.175593334,0.0,3.876636128,0.0,0.167278056,0.0,0.429673764,0.0,9.1e-08,0.0,0.167262783,0.0,0.191890262,0.0,0.443676915,0.0,0.237783502,0.0,1
1000,u280-fast,u280-ddr-fast,2102558720,7.10275431,0.0,3.914068708,0.0,0.167284601,0.0,0.42440544300000005,0.0,8.5e-08,0.0,0.167270377,0.0,0.16197323,0.0,7.888483537,0.0,0.262432213,0.0,1
1000,u280-ddr-fast,u50-fast,2102558720,7.224713876,0.0,3.866395387,0.0,0.167754228,0.0,0.655400529,0.0,8.4e-08,0.0,0.167738444,0.0,0.418605568,0.0,0.31031868,0.0,0.236794961,0.0,1
1000,u280-ddr-fast,u280-fast,2102558720,7.154439942,0.0,3.857540676,0.0,0.167552737,0.0,0.537640235,0.0,9.5e-08,0.0,0.167537491,0.0,0.179211987,0.0,6.848818398,0.0,0.358428248,0.0,1
1000,u280-ddr-fast,u280-ddr-fast,2102558720,7.060768127,0.0,3.916212153,0.0,0.167505774,0.0,0.47551085699999995,0.0,1.21e-07,0.0,0.167492131,0.0,0.22561351,0.0,0.564799725,0.0,0.249897347,0.0,1
